0000272253;20;Офисный ПК Kraftway credo KC43;11510357;29071399;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_Б106
0000271185;20;Офисный ПК Kraftway credo KC43;11510358;29071400;1;В эксплуатации;2;Персональный компьютер;1;Cтоловая;НБ_В310
0000271815;20;Офисный ПК Kraftway credo KC43;11510359;29071401;1;В эксплуатации;2;Персональный компьютер;1;Cтоловая;НБ_Б106
0000271431;20;Офисный ПК Kraftway credo KC43;11510360;29071402;2;Хранение исправного;2;Персональный компьютер;5;Отдел информатизации;НБ_Б106
0000272548;20;Офисный ПК Kraftway credo KC43;11510364;29071403;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_Б106
0000271681;20;Офисный ПК Kraftway credo KC43;11510420;29071404;1;В эксплуатации;2;Персональный компьютер;6;Отдел наличного денежного обращения и кассовых операций;НБ_Б106
0000271168;20;Офисный ПК Kraftway credo KC43;11510421;29071405;1;В эксплуатации;2;Персональный компьютер;3;Операционный отдел;НБ_Б106
0000270660;20;Офисный ПК Kraftway credo KC43;11510422;29071406;1;В эксплуатации;2;Персональный компьютер;3;Операционный отдел;НБ_Б106
0000272658;20;Офисный ПК Kraftway credo KC43;11510423;29071407;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_Б106
0000271746;20;Офисный ПК Kraftway credo KC43;11510425;29071408;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_А218
0000272130;20;Офисный ПК Kraftway credo KC43;11510429;29071409;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_Б106
0000271497;20;Офисный ПК Kraftway credo KC43;11510560;29071410;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_Б106
0000272531;20;Офисный ПК Kraftway credo KC43;11510564;29071411;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_Б106
0000270458;20;Офисный ПК Kraftway credo KC43;11510565;29071412;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_Б106
0000272241;20;Офисный ПК Kraftway credo KC43;11510567;29071413;1;В эксплуатации;2;Персональный компьютер;3;Операционный отдел;НБ_Б321
0000272565;20;Офисный ПК Kraftway credo KC43;11514191;29071414;1;В эксплуатации;2;Персональный компьютер;1;Cтоловая;НБ_Б106
0000270429;20;Офисный ПК Kraftway credo KC43;11514192;29071415;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_Б106
0000272596;20;Офисный ПК Kraftway credo KC43;11514193;29071416;1;В эксплуатации;2;Персональный компьютер;6;Отдел наличного денежного обращения и кассовых операций;НБ_Б106
0000271836;20;Офисный ПК Kraftway credo KC43;11514194;29071417;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_Б106
